cust_id,cust_name,cust_email
1001.0,Tejas,tejas@gmail.com
1002.0,Atul,atul@gmail.com
1005.0,Ishaan Reddy,ishaan.reddy433@gmail.com
1006.0,Vivaan Verma,vivaan.verma224@yahoo.com
1007.0,Vivaan Gawande,vivaan.gawande204@proton.me
1008.0,Manish Chavan,manish.chavan460@proton.me
1009.0,Nikhil Patil,nikhil.patil778@yahoo.com
1010.0,Aniket Deshmukh,aniket.deshmukh285@yahoo.com
1011.0,Tejas Deshmukh,tejas.deshmukh105@gmail.com
1012.0,Vivek Jadhav,atharv.patil760@outlook.com
1013.0,Saurabh Sharma,atharv.patil760@outlook.com
1014.0,Atharv Singh,atharv.singh81@proton.me
1016.0,Prateek Shinde,prateek.shinde72@gmail.com
1017.0,Atul Mehta,atharv.patil760@outlook.com
1018.0,Rohan Singh,rohan.singh285@hotmail.com
1019.0,Aman Gupta,aman.gupta380@outlook.com
1021.0,Rahul Gawande,rahul.gawande747@yahoo.com
1022.0,Atul Thakur,atul.thakur333@gmail.com
1024.0,Siddharth Chavan,atul.sharma825@outlook.com
1025.0,Aakash Kumar,aakash.kumar68@yahoo.com
1026.0,Om Joshi,om.joshi672@hotmail.com
1027.0,Aakash Pandey,aakash.pandey470@yahoo.com
1027.0,Saurabh Kulkarni,saurabh.kulkarni253@proton.me
1029.0,Saurabh Salunkhe,saurabh.salunkhe599@hotmail.com
1033.0,Ishaan Reddy,ishaan.reddy433@gmail.com
1034.0,Vivaan Verma,vivaan.verma224@yahoo.com
1035.0,Vivaan Gawande,vivaan.gawande204@proton.me
1036.0,Manish Chavan,manish.chavan460@proton.me
1037.0,Nikhil Patil,nikhil.patil778@yahoo.com
1038.0,Aniket Deshmukh,aniket.deshmukh285@yahoo.com
1039.0,Tejas Deshmukh,tejas.deshmukh105@gmail.com
1040.0,Vivek Jadhav,atharv.patil760@outlook.com
1041.0,Saurabh Sharma,atharv.patil760@outlook.com
1042.0,Atharv Singh,atharv.singh81@proton.me
1044.0,Prateek Shinde,prateek.shinde72@gmail.com
1045.0,Atul Mehta,atharv.patil760@outlook.com
1046.0,Rohan Singh,rohan.singh285@hotmail.com
1047.0,Aman Gupta,aman.gupta380@outlook.com
1049.0,Rahul Gawande,rahul.gawande747@yahoo.com
1050.0,Atul Thakur,atul.thakur333@gmail.com
1052.0,Siddharth Chavan,atul.sharma825@outlook.com
1053.0,Aakash Kumar,aakash.kumar68@yahoo.com
1054.0,Om Joshi,om.joshi672@hotmail.com
1055.0,Aakash Pandey,aakash.pandey470@yahoo.com
1055.0,Saurabh Kulkarni,saurabh.kulkarni253@proton.me
1057.0,Saurabh Salunkhe,saurabh.salunkhe599@hotmail.com
1061.0,Ishaan Reddy,ishaan.reddy433@gmail.com
1062.0,Vivaan Verma,vivaan.verma224@yahoo.com
1063.0,Vivaan Gawande,vivaan.gawande204@proton.me
1064.0,Manish Chavan,manish.chavan460@proton.me
1065.0,Nikhil Patil,nikhil.patil778@yahoo.com
1066.0,Aniket Deshmukh,aniket.deshmukh285@yahoo.com
1067.0,Tejas Deshmukh,tejas.deshmukh105@gmail.com
1068.0,Vivek Jadhav,atharv.patil760@outlook.com
1069.0,Saurabh Sharma,atharv.patil760@outlook.com
1070.0,Atharv Singh,atharv.singh81@proton.me
1071.0,,yash.pandey634@outlook.com
1072.0,Prateek Shinde,prateek.shinde72@gmail.com
1073.0,Atul Mehta,atharv.patil760@outlook.com
1074.0,Rohan Singh,rohan.singh285@hotmail.com
1075.0,Aman Gupta,aman.gupta380@outlook.com
1077.0,Rahul Gawande,rahul.gawande747@yahoo.com
1078.0,Atul Thakur,atul.thakur333@gmail.com
1080.0,Siddharth Chavan,atul.sharma825@outlook.com
1081.0,Aakash Kumar,aakash.kumar68@yahoo.com
1082.0,Om Joshi,om.joshi672@hotmail.com
1083.0,Aakash Pandey,aakash.pandey470@yahoo.com
1083.0,Saurabh Kulkarni,saurabh.kulkarni253@proton.me
1085.0,Saurabh Salunkhe,saurabh.salunkhe599@hotmail.com
1086.0,,aakash.yadav225@yahoo.com
